Country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year
Argentina,34.69,7.71,22.04,28.17,33.32,30.72,2022
Somalia,34.58,5.16,20.79,39.39,26.65,29.4,2022
Iraq,34.47,10.63,23.29,30.46,28.31,40.92,2022
Kenya,33.92,8.73,22.11,31.27,28.82,32.18,2022
Armenia,33.89,11.61,23.45,27.59,30.55,28.86,2022
Morocco,33.83,8.98,22.18,30.63,24.52,34.36,2022
Uganda,33.5,9.19,22.1,31,24.85,11.41,2022
Brazil,33.24,8.27,21.54,28.16,25.24,27.85,2022
Bangladesh,33.13,4.42,19.67,30.41,21.7,25.3,2022
Zambia,33.04,9.26,21.9,31.53,22.46,40.33,2022
Tanzania,32.81,12.36,23.23,30.04,24.86,15.97,2022
Peru,32.53,11.22,22.54,30.71,21.53,28.17,2022
Rwanda,31.62,15.9,24.25,27.71,27.99,26.82,2022
North Macedonia,31.38,6.06,19.51,26.95,21.02,35.44,2022
Sri Lanka,31.29,8.23,20.48,37.67,17.27,19.27,2022
Belarus,30.89,9.81,21.01,27.24,31.64,31.78,2022
Ukraine,30.71,10.57,21.27,26.3,25.75,37.22,2022
Nigeria,30.49,35.99,33.07,33.65,20.92,9.34,2022
Moldova,30.35,8.7,20.2,24.96,27.1,33.43,2022
Paraguay,30.2,10.04,20.75,25.45,24.19,26.08,2022
Georgia,30.18,9.26,20.37,26.44,27.88,31.15,2022
Azerbaijan,29.73,7.86,19.48,26.57,26.73,27.26,2022
Egypt,29.52,5.82,18.41,27.42,23.42,21.54,2022
Syria,28.75,5.17,17.7,29.34,22.81,6.59,2022
Kazakhstan,28.68,9.44,19.66,25.35,27.24,32.23,2022
Turkey,28.31,6.63,18.15,22.64,18.4,32.88,2022
Nepal,28.29,3.96,16.89,26.45,20.41,22.96,2022
Tunisia,27.87,5.32,17.3,27.36,15.96,27.83,2022
Uzbekistan,27.31,9.29,18.86,26.83,24.22,22.37,2022
Kosovo (Disputed Territory),27.05,8.04,18.14,24.84,19.53,43.86,2022
Algeria,26.87,4.59,16.43,28.82,14.48,24.63,2022
Colombia,26.72,8.18,18.03,23.47,19.44,28.85,2022
India,24.43,5.3,15.47,26.43,17.56,49.72,2022
Afghanistan,20.37,2.72,12.09,14.92,12.41,23.04,2022
Pakistan,19.92,3.91,12.42,17.81,15.54,26.63,2022
Bermuda,147.51,102.54,126.71,148.59,162.07,68.82,2021 (mid)
Switzerland,125.02,54.92,92.59,129.17,122.92,102.77,2021 (mid)
Norway,103.56,36.91,72.72,99.51,106.72,73.55,2021 (mid)
Iceland,99.67,46.62,75.12,93.51,106.16,67.3,2021 (mid)
Barbados,94.44,22.53,61.17,89.23,78.91,30.74,2021 (mid)
Jersey,94.43,64.03,80.36,78.51,96.55,77.12,2021 (mid)
Denmark,88.53,34.51,63.53,71.55,104.06,86.43,2021 (mid)
Luxembourg,85.3,64.19,75.53,79.55,93.53,87.76,2021 (mid)
Israel,84.77,32.6,60.63,73.31,91.74,65.91,2021 (mid)
Bahamas,84.32,35.03,61.51,70.63,83.61,46.07,2021 (mid)
Singapore,82.63,64.98,74.46,74.28,59.02,78.53,2021 (mid)
Japan,81.15,28.05,56.58,84.48,48.67,76.01,2021 (mid)
Hong Kong,80.82,77.56,79.31,84.83,59.5,56.86,2021 (mid)
Australia,80.75,38.67,61.28,78.96,74.73,91.07,2021 (mid)
Netherlands,78.93,38.24,60.1,67.45,80.31,76.65,2021 (mid)
Ireland,78.55,45.34,63.18,64.98,80.96,71.58,2021 (mid)
France,77.59,27.07,54.22,75.99,75.39,76.36,2021 (mid)
South Korea,76.46,23.25,51.84,94.49,43.14,69.44,2021 (mid)
Finland,76.35,27.81,53.89,66.4,81.93,80.11,2021 (mid)
New Zealand,76.31,35.79,57.56,72.34,73.25,74.89,2021 (mid)
Sweden,75.89,27.61,53.55,69.68,75.31,85.44,2021 (mid)
Belgium,75.79,27.28,53.35,65.22,82.5,70.12,2021 (mid)
Austria,74.87,29.38,53.82,68.83,70.9,68.69,2021 (mid)
Seychelles,74.07,34.49,55.76,72.97,82.84,16.86,2021 (mid)
Malta,72.92,33.06,54.47,63.96,76.19,36.73,2021 (mid)
Canada,71.45,35.06,54.62,70.15,69.51,78.34,2021 (mid)
United Kingdom,70.64,33.03,53.24,57.34,76.16,77.47,2021 (mid)
United States,70.55,42.56,57.6,69.87,70.79,94.32,2021 (mid)
Italy,69.99,22.12,47.84,60.7,74,54.3,2021 (mid)
Lebanon,69.32,26.4,49.46,64.23,57.2,32.48,2021 (mid)
Macao,68.16,46.31,58.05,66.18,51.71,62.15,2021 (mid)
Germany,67.85,29.61,50.16,53.33,64,89.86,2021 (mid)
Puerto Rico,67.84,20.4,45.89,70.31,58.23,61.16,2021 (mid)
Taiwan,64.93,17.86,43.15,80.52,29.27,51.09,2021 (mid)
Qatar,61.93,48.95,55.93,54.25,61.93,84.85,2021 (mid)
Cyprus,61.64,22.99,43.76,51.29,63.25,49.36,2021 (mid)
Maldives,61.03,32.1,47.65,62.38,33.62,23.61,2021 (mid)
United Arab Emirates,58.94,39.21,49.81,47.43,59.57,84.93,2021 (mid)
Greece,58.38,13.3,37.52,46.17,54.53,35.95,2021 (mid)
Bahrain,57.16,30.23,44.7,45.96,51.99,52.68,2021 (mid)
Palestine,56.92,10.68,35.52,50.3,41.79,35.98,2021 (mid)
Spain,56.64,23.19,41.16,47.36,56.63,58.5,2021 (mid)
Slovenia,56.4,18.7,38.96,49.16,46.99,52.08,2021 (mid)
Cuba,55.46,16.22,37.31,47.74,35.24,1.28,2021 (mid)
Croatia,55.18,14.5,36.36,48.44,46.86,39.83,2021 (mid)
Trinidad And Tobago,54.78,16.96,37.28,53.37,53.78,34.85,2021 (mid)
Estonia,53.77,15.89,36.24,42.3,53.02,56.58,2021 (mid)
Libya,53.59,13.95,35.25,61.02,36.28,27.83,2021 (mid)
Panama,53.03,23.24,39.25,53.22,45.57,28.91,2021 (mid)
Jamaica,51.75,17.42,35.87,54.27,34.69,28.01,2021 (mid)
Senegal,51.54,22.22,37.97,44.63,37.88,21.87,2021 (mid)
Yemen,51.41,6.77,30.75,63.48,23.46,12.81,2021 (mid)
Ivory Coast,50.95,22.05,37.58,43.21,33.81,5.65,2021 (mid)
Jordan,50.91,9.97,31.97,41.91,42.02,27.95,2021 (mid)
Belize,50.91,11.65,32.74,47.64,36.47,42.38,2021 (mid)
Portugal,50.65,21.97,37.38,40.87,42.54,40.54,2021 (mid)
Uruguay,50.55,14.15,33.7,41.8,48.43,27.43,2021 (mid)
Latvia,50.41,12.9,33.06,39.48,45.62,43.49,2021 (mid)
Suriname,50.05,10.09,31.56,48.44,62.23,14.55,2021 (mid)
Guyana,49.7,8.82,30.78,52.37,44.43,15.87,2021 (mid)
Oman,49.64,17.86,34.93,46.9,43.04,74.87,2021 (mid)
Saudi Arabia,49.6,12.51,32.44,41.94,33.84,80.11,2021 (mid)
Kuwait,49.14,32.78,41.57,36.21,48.15,70.51,2021 (mid)
Ethiopia,48.89,16.36,33.84,36.01,18.2,9.03,2021 (mid)
Chile,48.6,15.01,33.06,41.64,47.86,29.43,2021 (mid)
Costa Rica,48.53,15.66,33.32,46.35,42.77,34.7,2021 (mid)
Czech Republic,48.2,18.79,34.59,42.57,35.41,54.8,2021 (mid)
Cambodia,47.44,15.13,32.49,48.28,23.12,10.16,2021 (mid)
Zimbabwe,47.35,9.47,29.82,40.57,37.47,17.01,2021 (mid)
Slovakia,47.32,17.51,33.53,41.92,37.8,45.65,2021 (mid)
Mauritius,47.13,12.05,30.9,49.5,34.7,24.57,2021 (mid)
Lithuania,46.04,14.75,31.56,35.98,45.37,52.8,2021 (mid)
Venezuela,45.96,10.89,29.73,37.69,48.14,13.39,2021 (mid)
Fiji,44.93,17.9,32.42,49.74,38.02,29.4,2021 (mid)
Thailand,44.76,15.27,31.11,45.99,23.47,28.87,2021 (mid)
Guatemala,44.39,16.19,31.34,42.39,33.34,22.17,2021 (mid)
South Africa,44.21,18.25,32.19,37.08,39.95,69.15,2021 (mid)
El Salvador,44.01,14.12,30.18,42.68,36.14,19.21,2021 (mid)
Hungary,42.26,12.79,28.62,35.8,34.48,47.41,2021 (mid)
Nicaragua,41.81,8.68,26.48,40.68,29.92,15.2,2021 (mid)
Dominican Republic,41.79,10.15,27.15,37.66,34.55,18.8,2021 (mid)
Poland,41.75,19.39,31.4,34.11,35.1,43.61,2021 (mid)
Botswana,41.7,10.73,27.37,35.71,46.73,48.96,2021 (mid)
China,41.31,16.67,29.91,45.2,27.47,53.62,2021 (mid)
Honduras,41.29,10.71,27.14,35.34,29.13,28.72,2021 (mid)
Cameroon,40.85,7.65,25.49,41.51,24.26,14.07,2021 (mid)
Iran,40.64,16.73,29.58,35.06,24.37,16.82,2021 (mid)
Montenegro,39.81,12.02,26.95,31.81,32.37,33.1,2021 (mid)
Philippines,39.11,10.41,25.83,38.41,21.72,18,2021 (mid)
Ecuador,38.79,12.07,26.42,36.03,28.66,27.1,2021 (mid)
Bulgaria,38.67,9.56,25.2,34.25,30.59,39.49,2021 (mid)
Ghana,38.53,21.08,30.46,38.73,31.85,16.85,2021 (mid)
Albania,37.73,8.6,24.25,30.88,28.08,25.59,2021 (mid)
Serbia,37.62,9.75,24.73,28.83,30.62,34.16,2021 (mid)
Malaysia,37.52,10.44,24.99,39.02,21.25,50.11,2021 (mid)
Bosnia And Herzegovina,36.95,7.32,23.24,31.17,25.48,38.94,2021 (mid)
Vietnam,36.94,13.94,26.29,37.87,19.18,25.29,2021 (mid)
Romania,36.77,10.91,24.8,32.45,31.54,41.89,2021 (mid)
Russia,36.76,15.3,26.83,30.79,37.17,35.53,2021 (mid)
Mexico,36.74,14.45,26.43,35.04,33.72,31.3,2021 (mid)
Brazil,36.06,9.24,23.65,30.08,27.7,25.13,2021 (mid)
